0    2022-02-08T06:05:42Z    2022-02-08T07:43:37Z    9.700000000000001    n
1    2022-02-08T09:21:39Z    2022-02-08T14:02:00Z    28.0    y
2    2022-02-08T13:17:30Z    2022-02-08T16:30:14Z    19.200000000000003    y
3    2022-02-08T19:40:16Z    2022-02-08T22:51:07Z    19.0    y
4    2022-02-08T23:35:53Z    2022-02-09T01:37:03Z    12.100000000000001    y
5    2022-02-09T04:23:32Z    2022-02-09T06:48:26Z    14.4    y
6    2022-02-09T06:27:10Z    2022-02-09T11:05:55Z    27.8    y
7    2022-02-09T08:13:33Z    2022-02-09T11:10:06Z    17.6    y
8    2022-02-09T16:31:01Z    2022-02-09T19:05:18Z    15.4    y
9    2022-02-09T17:04:24Z    2022-02-09T19:03:37Z    11.9    y
10    2022-02-09T17:44:49Z    2022-02-09T18:32:19Z    4.7    n
11    2022-02-09T21:44:53Z    2022-02-09T21:48:16Z    0.30000000000000004    y
12    2022-02-10T01:10:43Z    2022-02-10T05:23:29Z    25.200000000000003    y
13    2022-02-10T03:11:34Z    2022-02-10T07:54:58Z    28.3    n
14    2022-02-10T03:33:58Z    2022-02-10T05:17:46Z    10.3    n
15    2022-02-10T06:13:56Z    2022-02-10T07:47:42Z    9.3    y
16    2022-02-10T06:31:22Z    2022-02-10T10:55:52Z    26.400000000000002    y
17    2022-02-10T10:42:43Z    2022-02-10T13:59:09Z    19.6    n
18    2022-02-10T11:06:29Z    2022-02-10T13:54:39Z    16.8    n
19    2022-02-10T17:43:51Z    2022-02-10T17:59:52Z    1.6    n
20    2022-02-10T21:20:13Z    2022-02-11T00:38:49Z    19.8    y
21    2022-02-11T00:49:00Z    2022-02-11T05:42:06Z    29.3    y
22    2022-02-11T03:45:22Z    2022-02-11T04:33:09Z    4.7    n
23    2022-02-11T06:22:55Z    2022-02-11T08:35:03Z    13.200000000000001    n
24    2022-02-11T09:35:45Z    2022-02-11T09:53:32Z    1.7000000000000002    y
25    2022-02-11T09:55:31Z    2022-02-11T11:22:47Z    8.700000000000001    n
